activity_column,class,rank,sensor,importance,n_samples
LL_Left_Arm_Object,Cup,5,LOCATION_TAG4_X,0.016526454691709432,10265.0
LL_Left_Arm_Object,Cup,6,Accelerometer_SPOON_accX_3,0.01642652829475249,10265.0
LL_Left_Arm_Object,Cup,7,Accelerometer_KNIFE1_accX_2,0.01618687336308524,10265.0
LL_Left_Arm_Object,Cup,8,LOCATION_TAG1_X,0.016183541368146582,10265.0
LL_Left_Arm_Object,Cup,9,Accelerometer_CUP_gyroX,0.0158375281246949,10265.0
LL_Left_Arm_Object,Cup,10,Accelerometer_KNIFE2_accX,0.01471789452125808,10265.0
LL_Left_Arm_Object,Dishwasher,1,Accelerometer_DISHWASHER_accZ,0.05356906021769947,3333.0
LL_Left_Arm_Object,Dishwasher,2,Accelerometer_DISHWASHER_accX,0.048086508894340865,3333.0
LL_Left_Arm_Object,Dishwasher,3,InertialMeasurementUnit_BACK_magneticZ,0.039667540291930495,3333.0
LL_Left_Arm_Object,Dishwasher,4,InertialMeasurementUnit_LUA_magneticY,0.0377278876314447,3333.0
LL_Left_Arm_Object,Dishwasher,5,InertialMeasurementUnit_R-SHOE_Compass,0.03584694133533961,3333.0
LL_Left_Arm_Object,Dishwasher,6,Accelerometer_LWR_accY,0.03403541884093535,3333.0
LL_Left_Arm_Object,Dishwasher,7,InertialMeasurementUnit_RUA_magneticY,0.0325896497440677,3333.0
LL_Left_Arm_Object,Dishwasher,8,InertialMeasurementUnit_LLA_magneticX,0.030744865352990657,3333.0
LL_Left_Arm_Object,Dishwasher,9,LOCATION_TAG1_X,0.027562837308484585,3333.0
LL_Left_Arm_Object,Dishwasher,10,InertialMeasurementUnit_LLA_accX,0.025789721992537023,3333.0
LL_Left_Arm_Object,Door1,1,LOCATION_TAG1_X,0.0998100716043391,763.0
LL_Left_Arm_Object,Door1,2,LOCATION_TAG4_X,0.08192582592103397,763.0
LL_Left_Arm_Object,Door1,3,Accelerometer_SALAMI_accX_3,0.05727812814386112,763.0
LL_Left_Arm_Object,Door1,4,LOCATION_TAG1_Y,0.05012100329121035,763.0
LL_Left_Arm_Object,Door1,5,LOCATION_TAG3_X,0.04264547618515992,763.0
LL_Left_Arm_Object,Door1,6,InertialMeasurementUnit_LUA_magneticY,0.029247922006080642,763.0
LL_Left_Arm_Object,Door1,7,LOCATION_TAG3_Y,0.02693385415597898,763.0
LL_Left_Arm_Object,Door1,8,InertialMeasurementUnit_LLA_magneticY,0.02547563325882385,763.0
LL_Left_Arm_Object,Door1,9,LOCATION_TAG2_Y,0.02500117375843203,763.0
LL_Left_Arm_Object,Door1,10,Accelerometer_SALAMI_accX_2,0.0226758742664627,763.0
LL_Left_Arm_Object,Door2,1,LOCATION_TAG1_Y,0.0790355069662532,279.0
LL_Left_Arm_Object,Door2,2,LOCATION_TAG4_Y,0.06953267227313152,279.0
